type|date|dayWeek|expl
closed|1937-07-03|(Sat)|Saturday before Independence Day.
partial|1942-05-18|(Mon)|Closed from 12:00 noon to 1:00 pm. NYSE 150th anniversary.
partial|1942-10-22|(Thu)|Closed from 2:32 to 2:58 pm – Civil Defense Drill.
partial|1943-10-26|(Tue)|Closed from 2:38 to 2:59 pm – Civil Defense Drill. Reopened from 3:20 to 3:40 pm under special rule of the Board.
closed|1944-08-19|(Sat)|Closed Saturday.
closed|1944-08-26|(Sat)|Closed Saturday.
closed|1944-09-02|(Sat)|Closed Saturday.
closed|1945-04-14|(Sat)|National Day of Mourning for President Franklin D. Roosevelt.
partial|1945-06-19|(Tue)|Closed from 11:00 am to 1:00 pm – Parade for General Eisenhower.
closed|July 7-Sep. 1, 1945|(Sat-Sat)|Closed Saturdays.
closed|1945-08-15|(Wed)|V-J Day. End of World War II.
closed|1945-08-16|(Thu)|V-J Day. End of World War II.
closed|1945-10-13|(Sat)|Saturday after Columbus Day.
closed|1945-10-27|(Sat)|Navy Day.
closed|1945-12-24|(Mon)|Christmas Eve.
closed|1946-02-23|(Sat)|Saturday after Washington's Birthday.
closed|1946-05-25|(Sat)|Railroad strike.
closed|June 1-Sep. 28, 1946|(Sat-Sat)|Closed Saturdays.
closed|May 31-Sep. 27, 1947|(Sat-Sat)|Closed Saturdays.
closed|May 29-Sep. 25, 1948|(Sat-Sat)|Closed Saturdays.
closed|1948-01-03|(Sat)|Severe weather conditions.
closed|May 28-Sep. 24, 1949|(Sat-Sat)|Closed Saturdays.
closed|1949-12-24|(Sat)|Christmas Eve.
closed|June 3-Sep. 30, 1950|(Sat-Sat)|Closed Saturdays.
closed|1950-12-12|(Sat)|Saturday before Christmas Eve.
partial|1951-04-20|(Fri)|Closed from 11:00 am to 1:00 pm. Parade for General MacArthur.
closed|June 2-Sep. 29, 1951|(Sat-Sat)|Closed Saturdays.
closed|1951-11-28|(Wed)|Closed from 10:33 to 11:05 am – Civil Defense Drill.
early1pm|1951-12-24|(Mon)|Closed at 1:00 pm – Christmas Eve.
closed|May 31-Sep. 27, 1952|(Sat-Sat)|Closed Saturdays.
partial|1954-06-14|(Mon)|Closed from 10:02 to 10:32 am – Civil Defense Drill.
closed|1954-12-24|(Fri)|Christmas Eve.
partial|1955-06-15|(Wed)|Closed from 2:05 to 2:35 pm – Civil Defense Drill.
closed|1956-12-24|(Mon)|Christmas Eve.
partial|1957-07-12|(Fri)|Closed from 1:45 to 2:15 pm – Civil Defense Drill.
partial|1958-05-06|(Tue)|Closed from 10:30 to 10:50 am – Civil Defense Drill.
closed|1958-12-26|(Fri)|Day after Christmas.
partial|1959-04-17|(Fri)|Closed from 1:30 to 1:50 pm – Civil Defense Drill.
partial|1960-05-03|(Tue)|Closed from 2:16 to 2:40 pm – Civil Defense Drill.
open11.00|1960-12-12|(Mon)|Opened at 11:00 am – severe snowstorm.
closed|1961-05-29|(Mon)|Day before Decoration Day.
early2.07pm|1963-11-22|(Fri)|Closed at 2:07 pm. Assassination of President John F. Kennedy.
closed|1963-11-25|(Mon)|Funeral of President John F. Kennedy.
early2pm|1964-10-23|(Fri)|Closed at 2:00 pm – Funeral of former President Herbert C. Hoover.
partial|1965-01-25|(Mon)|The NYSE observed two minutes of silence, from 11:00 am to 11:02 am, in memory of Sir Winston Churchill.
open11.05|1965-11-10|(Wed)|Opened at 11:05 am due to blackout. Power failure in New York State began at 5:28 pm the previous evening.
closed|1965-12-24|(Fri)|Christmas Eve. Closed all day.
early2pm|1966-01-06|(Thu)|2:00 pm closing due to transit strike (seven days).
early2pm|1966-01-07|(Fri)|2:00 pm closing due to transit strike (seven days).
early2pm|1966-01-10|(Mon)|2:00 pm closing due to transit strike (seven days).
early2pm|1966-01-11|(Tue)|2:00 pm closing due to transit strike (seven days).
early2pm|1966-01-12|(Wed)|2:00 pm closing due to transit strike (seven days).
early2pm|1966-01-13|(Thu)|2:00 pm closing due to transit strike (seven days).
early2pm|1966-01-14|(Fri)|2:00 pm closing due to transit strike (seven days).
closed|1967-02-03|(Fri)|The NYSE observed one minute of silence, from 1:00 to 1:01 pm, in memory of the three astronauts who died in the Apollo I disaster.
short10.15to2pm|1967-02-07|(Tue)|Opened at 10:15 am, closed at 2:00 pm – snowstorm.
partial|1967-05-17|(Wed)|Trading suspended 12:58 to 1:13 pm while Vice President Humphrey spoke from Rostrum in honor of NYSE's 175th anniversary.
early2pm|1967-08-08|(Tue)|2:00 pm closing (nine days) due to back office work load.
early2pm|1967-08-09|(Wed)|2:00 pm closing (nine days) due to back office work load.
early2pm|1967-08-10|(Thu)|2:00 pm closing (nine days) due to back office work load.
early2pm|1967-08-11|(Fri)|2:00 pm closing (nine days) due to back office work load.
early2pm|1967-08-12|(Sat)|2:00 pm closing (nine days) due to back office work load.
early2pm|1967-08-13|(Sun)|2:00 pm closing (nine days) due to back office work load.
early2pm|1967-08-14|(Mon)|2:00 pm closing (nine days) due to back office work load.
early2pm|1967-08-15|(Tue)|2:00 pm closing (nine days) due to back office work load.
early2pm|1967-08-16|(Wed)|2:00 pm closing (nine days) due to back office work load.
early2pm|1967-08-17|(Thu)|2:00 pm closing (nine days) due to back office work load.
early2pm|1967-08-18|(Fri)|2:00 pm closing (nine days) due to back office work load.
separate|Jan. 22-Mar. 1, 1968|(Mon-Fri)|2:00 pm closing due to back office work load. 3:30 close resumed March 4.
closed|1968-02-12|(Mon)|Lincoln's Birthday. Trading Floor closed but offices remained open.
closed|1968-04-05|(Fri)|The NYSE observed one minute of silence, from 11:00 to 11:01 am, in memory of Dr. Martin Luther King, Jr.
closed|1968-04-09|(Tue)|National Day of Mourning for Martin Luther King, Jr.
closed|1968-06-06|(Thu)|The NYSE observed two minutes of silence, from 11:00 to 11:02 am, in memory of Senator Robert F. Kennedy.
closed|June 12-Dec. 31, 1968|(Wed-Tue)|Four day week (closed on Wednesdays or regular holiday) – Paperwork Crisis.
closed|1968-07-05|(Fri)|Day after Independence Day.
separate|Jan. 2-July 3, 1969|(Thu-Thu)|Five day week resumed, but with curtailed hours: 2:00 pm closing – Paperwork Crisis.
closed|1969-02-10|(Mon)|Closed all day – heavy snow.
open11.00|1969-02-11|(Tue)|Opened at 11:00 am – heavy snow.
partial|1969-03-28|(Fri)|The NYSE observed two minutes of silence, from 1:30 to 1:32 pm, in memory of former President Dwight D. Eisenhower.
closed|1969-03-31|(Mon)|Closed. Funeral of former President Dwight D. Eisenhower.
open10.45am|1969-06-02|(Mon)|Opened at 10:45 am. Delays due to storm.
separate|July 7-Sep. 26, 1969|(Mon-Fri)|2:30 pm closing – Paperwork Crisis.
closed|1969-07-21|(Mon)|Closed – National Day of Participation for the lunar exploration.
partial|1969-09-03|(Wed)|Closed 12:35 -1:05 pm due to power failure.
separate|1969-09-29|(Mon-Fri)|3:00 pm closing – Paperwork Crisis. Normal hours (10:00 am-3:30 pm) resumed May 4, 1970.
closed|1972-12-28|(Thu)|Closed. Funeral of former President Harry S. Truman.
closed|1973-01-25|(Thu)|Closed for funeral of former President Lyndon B. Johnson.
open11.00|1973-12-17|(Mon)|Opened at 11:00 am due to ice storm.
open10.15|1974-01-16|(Wed)|Opened at 10:15 am – Merrill Lynch had computer trouble.
partial|1974-04-10|(Wed)|Trading halted from 11:09 to 11:35 am due to computer malfunction.
partial|1974-10-15|(Wed)|Ticker down at 11:37 am. Trading halted at approximately 11:46 am and resumed at 12:22 pm.
open10.00|1974-11-22|(Fri)|Opening delayed until 10:15 am due to fire drill.
early2pm|1974-12-24|(Tue)|Closed at 2:00 pm – Christmas Eve.
partial|1975-01-07|(Tue)|Computer stopped at 10:07 am, resumed at 10:50 am. Trading halted 43 minutes.
partial|1975-01-15|(Wed)|Computer stopped at 1:24 pm, resumed at 1:45 pm. Trading halted 21 minutes.
partial|1975-02-07|(Fri)|Computer failure – trading halted 10:24 am, resumed 11:00 am.
early2.30pm|1975-02-12|(Wed)|Floor closed at 2:30 pm due to snowstorm.
partial|1975-04-09|(Wed)|Computer failure 10:09 am, trading resumed 10:35 am. Trading halted 26 minutes.
early2pm|1975-12-24|(Wed)|Floor closed at 2:00 pm – Christmas Eve.
open11.15|1976-02-02|(Mon)|Opened at 11:15 am. Delayed due to storm.
openlate|1976-06-08|(Tue)|Opening delayed due to fire drill.
early3pm|1976-08-09|(Mon)|Floor closed at 3:00 pm. Hurricane watch.
