Symbol;ISIN;Description;Region;Classification;Curr;Type;Start
T2730V;CH0019123238;DJS TMI Electr Eq [2730] USD (Return);Europe;Sector;USD;Return;20-Sep-04
SILFTS;CH0010542188;DJS TMI Fx Telcom [6530] USD (Price);Europe;Sector;USD;Price;24-Dec-01
SIPFTS;CH0010542170;DJS TMI Fx Telcom [6530] EUR (Price);Europe;Sector;EUR;Price;24-Dec-01
SIRFTS;CH0010542196;DJS TMI Fx Telcom [6530] EUR (Return);Europe;Sector;EUR;Return;24-Dec-01
SIVFTS;CH0010542204;DJS TMI Fx Telcom [6530] USD (Return);Europe;Sector;USD;Return;24-Dec-01
T5330L;CH0019124228;DJS TMI Fd&Drg [5330] USD (Price);Europe;Sector;USD;Price;20-Sep-04
T5330P;CH0019124186;DJS TMI Fd&Drg [5330] EUR (Price);Europe;Sector;EUR;Price;20-Sep-04
T5330R;CH0019124251;DJS TMI Fd&Drg [5330] EUR (Return);Europe;Sector;EUR;Return;20-Sep-04
T5330V;CH0019124285;DJS TMI Fd&Drg [5330] USD (Return);Europe;Sector;USD;Return;20-Sep-04
SXLFOA;CH0013313785;DJS TMI Food Prod [3570] USD (Price);Europe;Sector;USD;Price;24-Dec-01
SXPFOA;CH0013313827;DJS TMI Food Prod [3570] EUR (Price);Europe;Sector;EUR;Price;24-Dec-01
SXRFOA;CH0013313868;DJS TMI Food Prod [3570] EUR (Return);Europe;Sector;EUR;Return;24-Dec-01
SXVFOA;CH0013313819;DJS TMI Food Prod [3570] USD (Return);Europe;Sector;USD;Return;24-Dec-01
SILFRP;CH0010542261;DJS TMI Forst&Pap [1730] USD (Price);Europe;Sector;USD;Price;24-Dec-01
SIPFRP;CH0010542253;DJS TMI Forst&Pap [1730] EUR (Price);Europe;Sector;EUR;Price;24-Dec-01
SIRFRP;CH0010542279;DJS TMI Forst&Pap [1730] EUR (Return);Europe;Sector;EUR;Return;24-Dec-01
SIVFRP;CH0010542287;DJS TMI Forst&Pap [1730] USD (Return);Europe;Sector;USD;Return;24-Dec-01
T7570L;CH0019124434;DJS TMI Gas Water [7570] USD (Price);Europe;Sector;USD;Price;20-Sep-04
T7570P;CH0019124384;DJS TMI Gas Water [7570] EUR (Price);Europe;Sector;EUR;Price;20-Sep-04
T7570R;CH0019124475;DJS TMI Gas Water [7570] EUR (Return);Europe;Sector;EUR;Return;20-Sep-04
T7570V;CH0019124517;DJS TMI Gas Water [7570] USD (Return);Europe;Sector;USD;Return;20-Sep-04
T8770L;CH0019124798;DJS TMI Gen Fincl [8770] USD (Price);Europe;Sector;USD;Price;20-Sep-04
T8770P;CH0019124764;DJS TMI Gen Fincl [8770] EUR (Price);Europe;Sector;EUR;Price;20-Sep-04
T8770R;CH0019124822;DJS TMI Gen Fincl [8770] EUR (Return);Europe;Sector;EUR;Return;20-Sep-04
T8770V;CH0019124855;DJS TMI Gen Fincl [8770] USD (Return);Europe;Sector;USD;Return;20-Sep-04
T2720L;CH0019122917;DJS TMI Gen Indus [2720] USD (Price);Europe;Sector;USD;Price;20-Sep-04
T2720P;CH0019122867;DJS TMI Gen Indus [2720] EUR (Price);Europe;Sector;EUR;Price;20-Sep-04
T2720R;CH0019122933;DJS TMI Gen Indus [2720] EUR (Return);Europe;Sector;EUR;Return;20-Sep-04
T2720V;CH0019122974;DJS TMI Gen Indus [2720] USD (Return);Europe;Sector;USD;Return;20-Sep-04
T5370L;CH0019204194;DJS TMI Gen Ret [5370] USD (Price);Europe;Sector;USD;Price;20-Sep-04
T5370P;CH0019204137;DJS TMI Gen Ret [5370] EUR (Price);Europe;Sector;EUR;Price;20-Sep-04
T5370R;CH0019204210;DJS TMI Gen Ret [5370] EUR (Return);Europe;Sector;EUR;Return;20-Sep-04
T5370V;CH0019204228;DJS TMI Gen Ret [5370] USD (Return);Europe;Sector;USD;Return;20-Sep-04
T4530L;CH0019123907;DJS TMI Hea Eq [4530] USD (Price);Europe;Sector;USD;Price;20-Sep-04
T4530P;CH0019123832;DJS TMI Hea Eq [4530] EUR (Price);Europe;Sector;EUR;Price;20-Sep-04
T4530R;CH0019123949;DJS TMI Hea Eq [4530] EUR (Return);Europe;Sector;EUR;Return;20-Sep-04
T4530V;CH0019123964;DJS TMI Hea Eq [4530] USD (Return);Europe;Sector;USD;Return;20-Sep-04
